Instructor,Course,Term,Enrolled/Response Rate,Avg Grade Recieved,Avg Hours Worked,Student Learning,Course Structure,Class Environment
"Adamiak, Patrick John",MMW 12 - Transforming Traditions (A00),S323,29 (13.79%),3.22 (B),5.0,4.25,4.07,4.07
"Chang, Edmond Yi-Teh","MMW 13 - Globalizing World, 13th-18th C (A00)",SP24,299 (29.77%),3.46 (B+),6.45,4.34,4.23,4.58
"Zhiri, Oumelbanine","MMW 13 - Globalizing World, 13th-18th C (B00)",SP24,318 (24.21%),3.75 (A-),5.0,3.69,3.92,4.21
"Vitkus, Daniel J.","MMW 13 - Globalizing World, 13th-18th C (C00)",SP24,223 (30.49%),3.43 (B+),5.76,3.3,3.32,3.92
"Wood, Lauren Elizabeth","MMW 13 - Globalizing World, 13th-18th C (A00)",S323,30 (26.67%),3.12 (B),8.13,4.56,4.48,4.28
"Chang, Edmond Yi-Teh","MMW 14 - Revolution,Industry & Empire (A00)",WI24,166 (34.34%),3.66 (B+),5.73,4.05,4.09,4.29
"Polic, Ivana","MMW 14 - Revolution,Industry & Empire (B00)",WI24,139 (32.37%),3.78 (A-),4.55,4.5,4.58,4.7
"Carreras, Maria Victoria","MMW 14 - Revolution,Industry & Empire (A00)",FA23,279 (35.13%),3.67 (B+),5.98,4.21,4.27,4.58
"Tchir, Paul Kost Nikolai","MMW 14 - Revolution,Industry & Empire (A00)",S123,167 (14.37%),3.63 (B+),7.29,4.39,4.35,4.44
"Tasyakan, Baris","MMW 14 - Revolution,Industry & Empire (B00)",S123,161 (24.84%),3.53 (B+),7.88,4.08,3.97,4.33
"Zhiri, Oumelbanine","MMW 14GS - Revolution, Industry & Empire (A00)",S123,20 (20.00%),3.90 (A-),6.25,4.81,4.81,4.81
"Chang, Edmond Yi-Teh",MMW 15 - The Contemporary Era (A00),SP24,165 (21.21%),3.58 (B+),6.03,4.29,4.2,4.34
"Radcliff, Pamela B.",MMW 15 - The Contemporary Era (B00),SP24,219 (31.05%),3.70 (A-),4.91,3.93,3.91,4.26
"Prestholdt, Jeremy",MMW 15 - The Contemporary Era (C00),SP24,224 (19.64%),3.91 (A-),4.86,4.39,4.47,4.66
"Chang, Edmond Yi-Teh",MMW 15 - The Contemporary Era (A00),S223,168 (16.67%),3.56 (B+),7.96,3.72,3.71,4.0
"Chang, Edmond Yi-Teh",MMW 15 - The Contemporary Era (B00),S223,168 (19.05%),3.50 (B+),8.13,4.16,4.01,4.28
"Rahimi, Babak",MMW 15GS - The Contemporary Era (B00),S123,14 (50.00%),4.00 (A),5.0,4.75,4.57,4.78
"Chang, Edmond Yi-Teh",MMW 121 - Exploring the Pre-Modern World (A00),FA23,213 (44.60%),3.42 (B+),8.32,4.07,4.08,4.53
"Patterson, Patrick H.",MMW 121 - Exploring the Pre-Modern World (B00),FA23,217 (48.85%),3.41 (B+),8.3,3.91,4.0,4.57
"Patterson, Patrick H.",MMW 121 - Exploring the Pre-Modern World (A00),S123,49 (18.37%),3.12 (B),7.78,4.56,4.42,4.83
"Peterson, Johanna L",MMW 122 - Exploring the Modern World (A00),WI24,162 (56.17%),3.25 (B),5.93,3.77,3.99,4.47
"Rahimi, Babak",MMW 122 - Exploring the Modern World (B00),WI24,222 (47.75%),3.52 (B+),6.83,3.89,3.98,4.39
"Rahimi, Babak",MMW 122 - Exploring the Modern World (A00),S223,56 (5.36%),3.45 (B+),6.67,3.64,3.64,
"Ramachandran, Nandagopal",MATH 2 - Intro to College Mathematics (A00),SP24,32 (21.88%),1.53 (D+),6.43,3.82,3.67,4.07
"Safii, Soheil",MATH 2 - Intro to College Mathematics (B00),SP24,32 (31.25%),2.03 (C),4.0,4.78,4.73,4.83
"Yin, Wei",MATH 2 - Intro to College Mathematics (C00),SP24,32 (37.50%),2.34 (C+),5.67,3.83,3.96,4.44
"Hammock, Frances H",MATH 2 - Intro to College Mathematics (A00),WI24,34 (50.00%),2.35 (C+),7.24,4.09,4.07,4.24
"Hammock, Frances H",MATH 2 - Intro to College Mathematics (B00),WI24,32 (46.88%),1.85 (C-),6.67,3.8,3.83,4.2
"Hammock, Frances H",MATH 2 - Intro to College Mathematics (C00),WI24,33 (51.52%),2.01 (C),6.18,4.21,4.09,4.44
"Yin, Wei",MATH 2 - Intro to College Mathematics (D00),WI24,34 (73.53%),1.96 (C-),7.16,3.53,3.68,4.33
"Ramachandran, Nandagopal",MATH 2 - Intro to College Mathematics (E00),WI24,34 (55.88%),1.82 (C-),6.16,4.12,4.09,4.47
"Quarfoot, David James",MATH 2 - Intro to College Mathematics (A00),FA23,36 (55.56%),2.21 (C),7.75,4.28,4.35,4.53
"Quarfoot, David James",MATH 2 - Intro to College Mathematics (B00),FA23,33 (45.45%),1.66 (D+),7.14,3.97,3.88,4.32
"Yin, Wei",MATH 2 - Intro to College Mathematics (C00),FA23,38 (52.63%),2.72 (B-),5.5,4.59,4.54,4.6
"Ramachandran, Nandagopal",MATH 2 - Intro to College Mathematics (D00),FA23,38 (52.63%),2.51 (C+),5.0,4.11,3.96,4.49
"Patchell, Gregory David",MATH 2 - Intro to College Mathematics (B00),S223,nan,3.17 (B),6.67,3.98,4.04,4.54
"Safii, Soheil",MATH 3C - Precalculus (A00),SP24,261 (33.72%),2.52 (C+),5.46,4.6,4.56,4.58
"Anzaldo, Leesa B",MATH 3C - Precalculus (A00),WI24,98 (23.47%),2.66 (C+),5.0,4.43,4.49,4.63
"Anzaldo, Leesa B",MATH 3C - Precalculus (B00),WI24,149 (33.56%),2.81 (B-),5.37,4.41,4.31,4.62
"Pardo Guerra, Sebastian",MATH 3C - Precalculus (C00),WI24,102 (41.18%),1.97 (C-),5.9,3.92,3.8,4.23
"Hammock, Frances H",MATH 3C - Precalculus (A00),FA23,613 (46.98%),1.66 (D+),7.68,3.49,3.47,4.19
"Kowalenko, Ethan J",MATH 3C - Precalculus (B00),FA23,127 (41.73%),1.51 (D+),7.74,2.81,2.6,3.77
"Habib, Yousaf",MATH 3C - Precalculus (C00),FA23,142 (43.66%),1.87 (C-),6.69,3.06,3.02,3.82
"Bowers, Adam R.",MATH 3C - Precalculus (A00),S123,56 (14.29%),2.43 (C+),8.57,4.29,4.36,4.3
"Mackall, Eoin Travis",MATH 4C - Precalculus for Sci & Engn (A00),WI24,88 (35.23%),2.72 (B-),5.4,4.24,4.17,4.38
"Aycock, Jon Merrill",MATH 4C - Precalculus for Sci & Engn (A00),FA23,95 (44.21%),3.59 (B+),5.48,4.25,4.27,4.54
"Aycock, Jon Merrill",MATH 4C - Precalculus for Sci & Engn (B00),FA23,96 (47.92%),3.44 (B+),5.65,4.26,4.25,4.58
"Aliabadi Sr., Mohsen",MATH 4C - Precalculus for Sci & Engn (C00),FA23,90 (64.44%),3.60 (B+),5.34,4.52,4.45,4.56
"Aliabadi Sr., Mohsen",MATH 4C - Precalculus for Sci & Engn (D00),FA23,90 (62.22%),3.67 (B+),5.0,4.57,4.5,4.6
"Rankothge, Bharatha Madusanka",MATH 4C - Precalculus for Sci & Engn (A00),S223,nan,2.92 (B-),6.43,3.84,3.71,4.41
"Bowers, Adam R.",MATH 10A - Calculus I (A00),SP24,281 (26.33%),2.85 (B-),6.96,4.02,4.01,4.42
"Kowalenko, Ethan J",MATH 10A - Calculus I (B00),SP24,161 (30.43%),2.31 (C+),6.27,3.64,3.6,4.05
"Bowers, Adam R.",MATH 10A - Calculus I (A00),WI24,332 (30.72%),2.98 (B-),6.17,4.11,4.05,4.48
"Cheng, Hsiao-Bing",MATH 10A - Calculus I (B00),WI24,222 (45.95%),2.63 (C+),7.05,2.67,2.53,3.93
"Cheng, Hsiao-Bing",MATH 10A - Calculus I (C00),WI24,208 (40.87%),2.56 (C+),7.56,2.78,2.62,3.84
"Bowers, Adam R.",MATH 10A - Calculus I (A00),FA23,609 (39.74%),2.98 (B-),7.35,4.18,4.09,4.5
"Klevdal, Christian Sleek",MATH 10A - Calculus I (B00),FA23,202 (37.62%),3.11 (B),6.71,3.87,3.74,4.27
"Klevdal, Christian Sleek",MATH 10A - Calculus I (C00),FA23,202 (42.57%),3.17 (B),7.21,3.72,3.56,4.15
"Sinha, Shubham",MATH 10A - Calculus I (A00),S223,35 (31.43%),2.77 (B-),8.18,3.43,3.32,4.14
"Sieger, Nicholas",MATH 10A - Calculus I (B00),S223,nan,2.18 (C),7.37,3.42,3.52,4.28
"Niu, Gongping",MATH 10A - Calculus I (A00),S123,60 (15.00%),2.86 (B-),7.22,3.42,3.59,4.2
"Wu, Kejin",MATH 10A - Calculus I (B00),S123,61 (9.84%),2.53 (C+),9.0,3.67,3.71,4.39
"Habib, Yousaf",MATH 10B - Calculus II (A00),SP24,166 (36.75%),2.37 (C+),6.43,2.92,2.85,3.8
"Habib, Yousaf",MATH 10B - Calculus II (B00),SP24,122 (25.41%),2.24 (C),5.9,3.31,3.22,3.92
"Bach, Quang Tran",MATH 10B - Calculus II (C00),SP24,210 (31.43%),2.40 (C+),6.31,4.18,4.05,4.38
"Chung, Tai-Hsuan",MATH 10B - Calculus II (D00),SP24,188 (59.04%),2.95 (B-),4.95,4.23,4.32,4.54
"Habib, Yousaf",MATH 10B - Calculus II (A00),WI24,183 (24.59%),2.44 (C+),6.6,3.53,3.53,4.1
"Huang, Lei",MATH 10B - Calculus II (B00),WI24,195 (32.82%),2.66 (C+),6.0,3.28,3.22,4.04
"Bowers, Adam R.",MATH 10B - Calculus II (C00),WI24,299 (32.11%),2.50 (C+),5.99,3.89,3.81,4.28
"Lahiri, Aranya",MATH 10B - Calculus II (D00),WI24,200 (29.00%),2.79 (B-),6.41,3.85,3.86,4.33
"Lahiri, Aranya",MATH 10B - Calculus II (E00),WI24,261 (28.35%),2.74 (B-),6.37,3.98,3.85,4.39
"Parise, Davide",MATH 10B - Calculus II (A00),FA23,175 (38.86%),2.23 (C),6.25,3.73,3.74,4.25
"Parise, Davide",MATH 10B - Calculus II (B00),FA23,238 (37.82%),2.94 (B-),6.28,3.75,3.83,4.27
"He, Gaojin",MATH 10B - Calculus II (C00),FA23,186 (40.32%),2.71 (B-),7.16,3.15,3.01,3.9
"Bowers, Adam R.",MATH 10B - Calculus II (A00),S223,109 (16.51%),2.07 (C),8.89,3.31,3.31,3.92
"Bowers, Adam R.",MATH 10B - Calculus II (B00),S223,109 (20.18%),2.28 (C),7.5,3.59,3.5,4.3
"Zhang, Ming",MATH 10B - Calculus II (A00),S123,100 (21.00%),2.86 (B-),7.86,4.08,4.21,4.51
"Liu, Zeyu",MATH 10B - Calculus II (B00),S123,92 (19.57%),2.43 (C+),7.5,4.2,4.27,4.5
"Zeng, Ji",MATH 10C - Calculus III (A00),SP24,140 (75.00%),2.57 (C+),5.93,4.18,4.18,4.43
"Pardo Guerra, Sebastian",MATH 10C - Calculus III (B00),SP24,138 (20.29%),2.26 (C),6.26,3.99,3.82,4.31
"Pardo Guerra, Sebastian",MATH 10C - Calculus III (C00),SP24,195 (23.08%),1.85 (C-),7.04,3.72,3.58,4.19
"Habib, Yousaf",MATH 10C - Calculus III (A00),WI24,150 (22.67%),1.88 (C-),6.03,3.53,3.23,3.99
"Pardo Guerra, Sebastian",MATH 10C - Calculus III (B00),WI24,176 (31.82%),2.36 (C+),6.0,3.73,3.43,4.3
"Sarkar, Pratyush",MATH 10C - Calculus III (A00),FA23,212 (29.72%),2.68 (C+),7.86,3.65,3.53,4.12
"Sarkar, Pratyush",MATH 10C - Calculus III (B00),FA23,207 (28.02%),2.85 (B-),7.33,3.61,3.49,4.07
"Rava, Denise",MATH 11 - Calculus-Based Prob & Stats (A00),SP24,302 (29.47%),2.69 (C+),6.7,3.89,3.91,4.17
"Wu, Kejin",MATH 11 - Calculus-Based Prob & Stats (B00),SP24,195 (37.44%),3.04 (B),6.75,3.99,3.99,4.37
"Rava, Denise",MATH 11 - Calculus-Based Prob & Stats (A00),WI24,219 (33.33%),2.59 (C+),8.0,3.77,3.76,4.2
"Rava, Denise",MATH 11 - Calculus-Based Prob & Stats (B00),WI24,218 (33.49%),2.67 (C+),6.88,3.88,3.8,4.03
"Rava, Denise",MATH 11 - Calculus-Based Prob & Stats (A00),FA23,282 (36.88%),2.59 (C+),8.04,4.06,3.88,4.37
"Wu, Kejin",MATH 11 - Calculus-Based Prob & Stats (B00),FA23,251 (38.65%),3.13 (B),7.84,3.42,3.23,3.98
"Mackall, Eoin Travis",MATH 18 - Linear Algebra (A00),SP24,141 (26.95%),2.56 (C+),5.22,4.01,3.91,4.13
"Suk, Andrew Hoon",MATH 18 - Linear Algebra (B00),SP24,581 (20.31%),2.49 (C+),6.26,4.21,4.12,4.38
"Treuer, John N",MATH 18 - Linear Algebra (A00),WI24,187 (29.41%),2.61 (C+),6.52,4.46,4.19,4.5
"Rhoades, Brendon Patrick",MATH 18 - Linear Algebra (B00),WI24,558 (36.38%),2.60 (C+),6.43,4.14,3.93,4.43
"Treuer, John N",MATH 18 - Linear Algebra (C00),WI24,191 (36.65%),2.56 (C+),5.6,4.08,3.85,4.27
"Anzaldo, Leesa B",MATH 18 - Linear Algebra (A00),FA23,582 (34.19%),2.97 (B-),7.91,4.35,4.29,4.5
"Agrawal, Shishir",MATH 18 - Linear Algebra (B00),FA23,188 (39.36%),2.83 (B-),7.57,4.08,3.87,4.34
"Agrawal, Shishir",MATH 18 - Linear Algebra (C00),FA23,181 (43.65%),2.92 (B-),7.95,4.09,3.9,4.28
"Pardo Guerra, Sebastian",MATH 18 - Linear Algebra (D00),FA23,115 (39.13%),2.17 (C),7.27,3.88,3.47,4.08
"Bach, Quang Tran",MATH 18 - Linear Algebra (A00),S223,46 (26.09%),2.80 (B-),8.75,4.44,4.34,4.48
"Bach, Quang Tran",MATH 18 - Linear Algebra (B00),S223,54 (16.67%),2.67 (C+),7.78,4.34,4.39,4.58
"Tran, Brian Kha",MATH 18 - Linear Algebra (A00),S123,46 (36.96%),2.81 (B-),8.82,4.01,3.96,4.35
"Tran, Brian Kha",MATH 18 - Linear Algebra (B00),S123,86 (45.35%),2.67 (C+),8.97,3.89,3.88,4.39
"Briones, Jor-el Thomas Caparas",MATH 20A - Calculus/Science & Engineering (A00),SP24,136 (51.47%),2.05 (C),6.81,3.98,3.96,4.04
"Briones, Jor-el Thomas Caparas",MATH 20A - Calculus/Science & Engineering (B00),SP24,72 (44.44%),1.38 (D+),7.66,4.37,4.3,4.52
"Safii, Soheil",MATH 20A - Calculus/Science & Engineering (A00),WI24,199 (25.13%),2.95 (B-),5.48,4.51,4.45,4.57
"Bach, Quang Tran",MATH 20A - Calculus/Science & Engineering (B00),WI24,222 (25.68%),2.70 (B-),6.42,4.19,4.19,4.36
"Habib, Yousaf",MATH 20A - Calculus/Science & Engineering (A00),FA23,120 (50.83%),2.81 (B-),7.05,4.25,4.23,4.42
"Bach, Quang Tran",MATH 20A - Calculus/Science & Engineering (B00),FA23,185 (47.03%),2.70 (B-),6.95,4.32,4.32,4.52
"Cheng, Hsiao-Bing",MATH 20A - Calculus/Science & Engineering (C00),FA23,202 (47.03%),2.65 (C+),8.14,3.61,3.14,4.2
"Cheng, Hsiao-Bing",MATH 20A - Calculus/Science & Engineering (D00),FA23,193 (46.11%),2.63 (C+),8.43,3.94,3.51,4.36
"Petrovic, Drazen",MATH 20A - Calculus/Science & Engineering (B00),S223,nan,2.85 (B-),8.0,4.53,4.58,4.7
"Suk, Andrew Hoon",MATH 20A - Calculus/Science & Engineering (A00),S123,32 (37.50%),1.85 (C-),7.92,4.34,4.21,4.48
"Quarfoot, David James",MATH 20B - Calculus/Science & Engineering (A00),SP24,272 (21.69%),1.77 (C-),7.24,4.26,4.16,4.43
"Mackall, Eoin Travis",MATH 20B - Calculus/Science & Engineering (B00),SP24,130 (21.54%),1.50 (D+),7.81,3.66,3.53,3.97
"Kowalenko, Ethan J",MATH 20B - Calculus/Science & Engineering (A00),WI24,67 (34.33%),2.20 (C),6.48,3.97,3.89,4.16
"Chou, Raymond Oliver",MATH 20B - Calculus/Science & Engineering (B00),WI24,182 (40.11%),3.65 (B+),5.57,4.77,4.74,4.82
"Chou, Raymond Oliver",MATH 20B - Calculus/Science & Engineering (C00),WI24,172 (41.28%),3.62 (B+),5.59,4.76,4.67,4.75
"Briones, Jor-el Thomas Caparas",MATH 20B - Calculus/Science & Engineering (D00),WI24,180 (66.11%),3.46 (B+),4.93,4.37,4.4,4.31
"Briones, Jor-el Thomas Caparas",MATH 20B - Calculus/Science & Engineering (E00),WI24,180 (63.89%),3.33 (B+),5.22,4.6,4.6,4.62
"Mackall, Eoin Travis",MATH 20B - Calculus/Science & Engineering (A00),FA23,110 (62.73%),2.62 (C+),8.91,3.48,3.13,3.78
"Briones, Jor-el Thomas Caparas",MATH 20B - Calculus/Science & Engineering (B00),FA23,254 (73.23%),3.26 (B),6.71,4.36,4.33,4.49
"Mackall, Eoin Travis",MATH 20B - Calculus/Science & Engineering (C00),FA23,170 (65.88%),2.87 (B-),8.83,3.42,3.01,3.8
"Briones, Jor-el Thomas Caparas",MATH 20B - Calculus/Science & Engineering (D00),FA23,169 (84.62%),3.46 (B+),6.47,4.33,4.25,4.06
"Shi, Chuqing",MATH 20B - Calculus/Science & Engineering (E00),FA23,168 (83.93%),2.57 (C+),8.62,3.23,2.87,4.08
"Ohm, Ko Woon",MATH 20B - Calculus/Science & Engineering (A00),S223,60 (11.67%),1.85 (C-),8.57,4.18,4.0,4.63
"Ohm, Ko Woon",MATH 20B - Calculus/Science & Engineering (B00),S223,60 (25.00%),2.38 (C+),8.67,4.07,3.9,4.28
"Bach, Quang Tran",MATH 20B - Calculus/Science & Engineering (A00),S123,34 (32.35%),2.06 (C),6.82,4.49,4.5,4.64
"Bach, Quang Tran",MATH 20B - Calculus/Science & Engineering (B00),S123,32 (25.00%),1.93 (C-),8.13,4.0,4.13,4.5
"Anzaldo, Leesa B",MATH 20B - Calculus/Science & Engineering (A00),SP23,192 (19.79%),2.48 (C+),7.37,4.41,4.38,4.57
"Anzaldo, Leesa B",MATH 20B - Calculus/Science & Engineering (B00),SP23,273 (23.08%),2.65 (C+),7.46,4.3,4.31,4.52
"Ohm, Ko Woon",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),SP24,308 (21.75%),2.39 (C+),6.38,4.24,4.15,4.41
"Ohm, Ko Woon",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B00),SP24,184 (29.35%),2.64 (C+),5.77,4.15,3.98,4.38
"Cheng, Hsiao-Bing",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (C00),SP24,195 (32.82%),2.73 (B-),7.86,3.76,3.53,4.27
"Cheng, Hsiao-Bing",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (D00),SP24,104 (25.96%),2.71 (B-),7.07,3.87,3.45,4.19
"Safii, Soheil",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),WI24,151 (23.84%),2.71 (B-),6.66,4.51,4.31,4.51
"Zhang, Ming",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B00),WI24,184 (34.78%),2.55 (C+),6.63,4.21,3.97,4.38
"Ohm, Ko Woon",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (C00),WI24,588 (34.52%),2.49 (C+),6.08,4.31,4.21,4.48
"Safii, Soheil",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),FA23,178 (38.76%),2.71 (B-),7.25,4.42,4.37,4.49
"Zhang, Ming",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B00),FA23,190 (44.74%),2.55 (C+),7.53,4.22,4.17,4.49
"Safii, Soheil",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (C00),FA23,168 (38.10%),2.34 (C+),7.19,4.41,4.22,4.46
"Ioana, Adrian",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (D00),FA23,545 (39.45%),2.64 (C+),6.93,4.29,4.22,4.45
"Harel, Guershon",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),S223,55 (16.36%),2.42 (C+),8.89,3.53,3.19,3.74
"Harel, Guershon",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B00),S223,42 (16.67%),1.59 (D+),9.29,3.14,3.04,3.33
"Petrovic, Drazen",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),S123,115 (20.87%),3.10 (B),7.92,4.55,4.33,4.52
"Petrovic, Drazen",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B00),S123,104 (14.42%),3.16 (B),8.33,4.25,4.17,4.31
"Zhang, Ming",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),SP23,180 (60.00%),2.94 (B-),6.64,4.27,4.18,4.42
"Hammock, Frances H",MATH 20D - Intro/Differential Equations (A00),SP24,175 (23.43%),2.74 (B-),7.05,4.32,4.23,4.57
"Hammock, Frances H",MATH 20D - Intro/Differential Equations (B00),SP24,179 (25.70%),2.60 (C+),7.07,4.32,4.18,4.49
"Sheng, Hongyi",MATH 20D - Intro/Differential Equations (C00),SP24,80 (33.75%),2.74 (B-),6.7,3.96,3.73,4.31
"Mackall, Eoin Travis",MATH 20D - Intro/Differential Equations (A00),WI24,108 (53.70%),3.17 (B),9.21,4.19,3.93,4.0
"Pulita, Andrea",MATH 20D - Intro/Differential Equations (B00),WI24,141 (29.79%),2.77 (B-),8.34,2.79,2.41,3.53
"Pulita, Andrea",MATH 20D - Intro/Differential Equations (C00),WI24,116 (39.66%),2.85 (B-),8.43,2.98,2.54,3.45
"Bach, Quang Tran",MATH 20D - Intro/Differential Equations (D00),WI24,175 (32.57%),2.82 (B-),5.84,4.62,4.6,4.61
"Sheng, Hongyi",MATH 20D - Intro/Differential Equations (A00),FA23,149 (28.19%),2.84 (B-),7.56,3.79,3.34,4.17
"Ohm, Ko Woon",MATH 20D - Intro/Differential Equations (B00),FA23,154 (31.17%),2.65 (C+),8.02,4.06,4.01,4.37
"Ohm, Ko Woon",MATH 20D - Intro/Differential Equations (C00),FA23,235 (24.68%),2.50 (C+),8.28,4.06,4.02,4.42
"Hammock, Frances H",MATH 20D - Intro/Differential Equations (A00),S223,70 (8.57%),2.35 (C+),10.0,3.78,3.67,4.18
"Hammock, Frances H",MATH 20D - Intro/Differential Equations (B00),S223,66 (7.58%),1.98 (C-),8.0,3.47,3.37,3.76
"Mattheus, Sam",MATH 20D - Intro/Differential Equations (B00),S123,38 (57.89%),3.27 (B),7.73,4.44,4.33,4.67
"Eggers, John Dietrich",MATH 20E - Vector Calculus (A00),SP24,240 (27.50%),2.81 (B-),6.27,4.35,4.31,4.51
"Hu, Xiaomeng",MATH 20E - Vector Calculus (B00),SP24,156 (25.64%),3.04 (B),4.9,4.44,4.42,4.52
"Bach, Quang Tran",MATH 20E - Vector Calculus (C00),SP24,179 (24.02%),2.95 (B-),5.42,4.57,4.52,4.55
"Kowalenko, Ethan J",MATH 20E - Vector Calculus (A00),WI24,260 (28.46%),2.68 (C+),5.97,3.59,3.42,4.02
"He, Gaojin",MATH 20E - Vector Calculus (B00),WI24,158 (32.28%),2.49 (C+),6.96,3.36,3.55,4.17
"Eggers, John Dietrich",MATH 20E - Vector Calculus (A00),FA23,175 (32.57%),3.13 (B),8.16,4.21,4.15,4.54
"Eggers, John Dietrich",MATH 20E - Vector Calculus (B00),FA23,197 (26.40%),3.30 (B),7.98,3.93,4.04,4.41
"Kowalenko, Ethan J",MATH 20E - Vector Calculus (C00),FA23,190 (28.95%),3.01 (B),6.94,3.44,3.18,3.77
"Loeser, Eva Horne",MATH 20E - Vector Calculus (A00),S223,74 (14.86%),3.09 (B),6.82,4.34,4.18,4.59
"Verstraete, Jacques Allan",MATH 20E - Vector Calculus (A00),S123,58 (10.34%),3.78 (A-),8.33,4.63,4.46,4.58
"Verstraete, Jacques Allan",MATH 20E - Vector Calculus (B00),S123,59 (18.64%),3.53 (B+),7.73,3.3,3.33,3.65
"Rabin, Jeffrey Mark",MATH 31AH - Honors Linear Algebra (A00),FA23,61 (55.74%),3.21 (B),8.68,4.82,4.53,4.71
"Rabin, Jeffrey Mark",MATH 31BH - Honors Multivariable Calculus (A00),WI24,45 (51.11%),3.31 (B+),8.87,4.82,4.59,4.72
"Rabin, Jeffrey Mark",MATH 31CH - Honors Vector Calculus (A00),SP24,40 (42.50%),3.28 (B),8.65,4.84,4.67,4.77
"Meyer, David A.",MATH 87 - First-year Seminar (A00),WI24,12 (33.33%),(N/A),3.0,4.5,4.58,4.46
"Harel, Guershon",MATH 87 - First-year Seminar (A00),FA23,9 (77.78%),(N/A),1.43,4.72,4.82,4.82
"Stevens, Laura Jeanne",MATH 87 - First-year Seminar (A00),SP23,15 (40.00%),(N/A),0.0,5.0,4.94,4.9
"Stevens, Laura Jeanne",MATH 95 - Introduction to Teaching Math (A00),SP24,28 (53.57%),3.68 (B+),1.71,4.69,4.66,4.69
"Stevens, Laura Jeanne",MATH 95 - Introduction to Teaching Math (A00),WI24,23 (39.13%),3.61 (B+),2.11,5.0,5.0,4.94
"Stevens, Laura Jeanne",MATH 95 - Introduction to Teaching Math (A00),SP23,23 (43.48%),3.61 (B+),4.5,4.87,4.95,4.97
"Kane, Daniel Mertz",MATH 96 - Putnam Seminar (A00),FA23,20 (35.00%),(N/A),5.0,4.61,4.68,4.64
"McKernan, James",MATH 100A - Abstract Algebra I (A00),FA23,56 (35.71%),3.12 (B),9.25,4.12,3.88,4.35
"Frisch, Joshua R",MATH 100A - Abstract Algebra I (B00),FA23,63 (31.75%),3.09 (B),10.0,3.66,3.43,4.39
"McKernan, James",MATH 100B - Abstract Algebra II (A00),WI24,72 (27.78%),3.11 (B),9.53,4.37,4.15,4.47
"Pollack, Aaron",MATH 100C - Abstract Algebra III (A00),SP24,41 (19.51%),3.69 (B+),7.88,4.81,4.81,4.97
"Ophir, Amit",MATH 102 - Applied Linear Algebra (A00),SP24,62 (19.35%),2.66 (C+),6.5,4.33,4.19,4.71
"Zhang, Ming",MATH 102 - Applied Linear Algebra (B00),SP24,138 (63.04%),3.22 (B),7.11,4.45,4.37,4.5
"Zhang, Ming",MATH 102 - Applied Linear Algebra (A00),WI24,150 (49.33%),3.11 (B),7.01,4.46,4.46,4.56
"Harel, Guershon",MATH 102 - Applied Linear Algebra (B00),WI24,22 (22.73%),2.25 (C),5.4,4.25,4.05,4.15
"Harel, Guershon",MATH 102 - Applied Linear Algebra (A00),FA23,53 (22.64%),2.76 (B-),7.5,3.63,3.38,4.15
"Lu, Yunze",MATH 102 - Applied Linear Algebra (B00),FA23,90 (15.56%),2.93 (B-),7.14,3.82,3.59,4.09
"Mohammadi, Amir",MATH 102 - Applied Linear Algebra (A00),S223,nan,2.83 (B-),9.38,3.55,3.47,3.96
"Wesley, William J",MATH 103A - Modern Algebra I (A00),WI24,108 (60.19%),2.82 (B-),8.0,4.46,4.29,4.41
"Klevdal, Christian Sleek",MATH 103A - Modern Algebra I (B00),WI24,64 (20.31%),3.14 (B),7.46,4.02,4.29,4.35
"Wesley, William J",MATH 103A - Modern Algebra I (C00),WI24,74 (54.05%),2.70 (B-),7.45,4.54,4.53,4.71
"Mohammadi, Amir",MATH 103A - Modern Algebra I (A00),FA23,57 (22.81%),2.64 (C+),8.08,4.27,4.12,4.57
"Chou, Raymond Oliver",MATH 103A - Modern Algebra I (B00),FA23,67 (35.82%),2.76 (B-),7.5,4.5,4.61,4.74
"Chou, Raymond Oliver",MATH 103A - Modern Algebra I (C00),FA23,71 (28.17%),2.55 (C+),7.0,4.48,4.59,4.71
"Wesley, William J",MATH 103A - Modern Algebra I (D00),FA23,68 (42.65%),2.74 (B-),7.93,4.64,4.5,4.67
"Aliabadi Sr., Mohsen",MATH 103A - Modern Algebra I (A00),S123,134 (25.37%),3.51 (B+),8.82,4.23,4.15,4.32
